음 식 명,중량(g),에너지(kcal),탄수화물(g),지방(g),단백질(g),당뇨 위험 분류,레이블,고기,채소,해산물
깨죽,800.0,506.0,71.0,19.0,13.0,0,999,0,0,0
닭죽,1000.0,1182.0,93.0,48.0,76.0,0,999,1,0,0
소고기버섯죽,800.0,573.0,103.0,6.0,21.0,0,999,1,1,0
어죽,800.0,559.0,90.0,6.0,16.0,0,999,0,0,1
잣죽,700.0,873.0,154.0,20.0,16.0,0,999,0,0,0
전복죽,800.0,587.0,105.0,11.0,15.0,0,999,0,0,1
참치죽,800.0,658.0,106.0,14.0,26.0,0,999,0,0,0
채소죽,800.0,515.0,101.0,5.0,12.0,0,999,0,1,0
팥죽,600.0,483.0,101.0,1.0,21.0,0,999,0,0,0
호박죽,600.0,430.0,111.0,1.0,8.0,0,999,0,0,0
콘스프,400.0,280.0,35.0,14.0,6.0,0,999,0,0,0
토마토스프,400.0,382.0,12.0,25.0,18.0,0,999,0,0,0
굴국,450.0,194.0,11.0,9.0,23.0,0,999,0,0,1
감자국,700.0,220.0,37.0,2.0,17.0,0,999,0,0,0
바지락조개국,550.0,159.0,9.0,2.0,26.0,0,999,0,0,1
소고기미역국,650.0,155.0,7.0,7.0,20.0,0,999,1,0,0
순대국,800.0,551.0,23.0,33.0,41.0,0,999,0,0,0
오징어국,500.0,169.0,11.0,2.0,28.0,0,999,0,0,1
토란국,250.0,463.0,85.0,7.0,24.0,0,999,0,1,0
탕국,250.0,94.0,3.0,4.0,12.0,0,999,0,0,0
홍합미역국,650.0,169.0,14.0,6.0,20.0,0,999,0,0,1
황태해장국,600.0,184.0,6.0,7.0,25.0,0,999,0,0,1
근대된장국,450.0,109.0,8.0,3.0,15.0,0,999,0,0,0
미소된장국,150.0,38.0,2.0,2.0,4.0,0,999,0,0,0
배추된장국,700.0,122.0,11.0,4.0,14.0,0,999,0,0,0
뼈다귀해장국 ,1000.0,716.0,30.0,45.0,54.0,0,999,1,0,0
선지(해장)국,1000.0,314.0,22.0,5.0,48.0,0,999,0,0,0
콩나물국,400.0,23.0,1.0,1.0,2.0,0,999,0,1,0
시금치된장국,400.0,121.0,10.0,3.0,17.0,0,999,0,1,0
시래기된장국,450.0,99.0,11.0,3.0,10.0,0,999,0,1,0
쑥된장국,450.0,117.0,17.0,3.0,13.0,0,999,0,1,0
아욱된장국,450.0,104.0,10.0,3.0,12.0,0,999,0,1,0
우거지된장국,450.0,86.0,14.0,2.0,6.0,0,999,0,1,0
우거지해장국,600.0,158.0,15.0,6.0,14.0,0,999,0,1,0
